game_link,name,price,developer,genres,features,publisher,date release,initial release on platform ,recommended_os,cpu,memory,gpu,available achievements,available xp,Critics Recommend,Top Critic Average,OpenCritic Rating
Eastward₹619,Eastward,₹619,Pixpil,RPGAdventureIndie,Single PlayerController Support,Chucklefish,09/16/21,WindowsWindowsMac OSMac OS,Windows 7/8/10,Intel i5,4 GB RAM,2 GB available space,,,null,null,null
Bad North₹446,Bad North,₹446,Plausible Concept,ActionStrategyRogue-Lite,Controller Support,Raw Fury,11/16/18,WindowsWindows,Windows 7+,"AMD Athlon X4 605e, Intel Celeron G1610 or equivalent",4 GB RAM,"Radeon HD 7850, GeForce GTX 470 or equivalent",,,46%,71,Fair
The Textorcist: The Story of Ray Bibbia₹446,The Textorcist: The Story of Ray Bibbia,₹446,MorbidWare,ActionIndie,null,Headup GmbH,11/12/20,WindowsWindowsMac OSMac OS,Windows 10,2 GHz,4 GB RAM,250 MB available space,,,64%,78,Strong
Speed Brawl₹529,Speed Brawl,₹529,Double Stallion Games,ActionFightinger,Co-opMultiplayerSingle PlayerController Support,Double Stallion Games,09/18/18,WindowsWindows,Windows 10,Intel Core i5 or equivalent,4 GB RAM,5420 MB available space,,,73%,74,Fair
Cosmic Express₹239,Cosmic Express,₹239,Draknek & Friends,PuzzleIndie,Single Player,Draknek & Friends,04/27/21,Initial Release03/16/17,Windows 10,SSE2 instruction set support,4 GB RAM,null,,,null,null,null
Shadowrun Hong Kong - Extended Edition₹529,Shadowrun Hong Kong - Extended Edition,₹529,Harebrained Schemes,RPGTurn-BasedIndie,null,Paradox Interactive,08/27/20,WindowsWindows,Windows XP SP3/Vista/Windows 7 & 8,x86-compatible 2GHz or faster processor,4 GB RAM,10 GB available space,,,87%,83,Strong
Darkest Dungeon®₹589,Darkest Dungeon®,₹589,Red Hook Studios,RPGTurn-BasedStrategy,null,Red Hook Studios,12/25/20,Initial Release01/19/16,Windows 7+,3.0+ GHz Quad core,4 GB RAM,3 GB,null,null,93%,84,Mighty
Planescape: Torment: Enhanced Edition₹469,Planescape: Torment: Enhanced Edition,₹469,Beamdog,RPGAdventure,Single Player,–,09/28/21,Initial Release04/12/17,Windows 10,AMD Ryzen 3 or Intel Core i3 processor,4 GB RAM,2 GB,,,77%,84,Mighty
Lovecraft's Untold Stories₹459,Lovecraft's Untold Stories,₹459,LLC Blini Games,ActionIndieShooter,Single Player,1C Entertainment,07/20/21,Initial Release01/31/19,Windows 7 / Windows 8 / Windows 10,"Dual Core CPU 2,4GHz or better",4 GB RAM,2GB,,,null,null,null
Kine₹349,Kine,₹349,Gwen Frey,PuzzleNarrationStrategy,Single Player,Gwen Frey,02/24/20,WindowsWindows,Windows 7 64 bit,"Dual Core Processor, 2.5 GHz or Higher",4 GB RAM,DX11 compatible video card,,,null,null,null
HORROR TALES The Wine₹349,HORROR TALES: The Wine,₹349,Carlos Coronado,HorrorSurvivalExploration,Controller SupportSingle Player,Carlos Coronado,07/30/21,WindowsWindows,"Windows 7 SP1 64bit, Windows 8.1 64bit Windows 10 64bit",Intel Core i7-3770 / AMD® FX-8350,4 GB RAM,NVIDIA® GeForce GTX 970 / ATI Radeon R9 series,,,null,null,null
Dandara: Trials of Fear Edition₹349,Dandara: Trials of Fear Edition,₹349,Long Hat House,Actioner,null,Raw Fury,01/28/21,WindowsWindowsMac OSMac OS,Microsoft® Windows® XP,1.8 GHz Processor,4 GB RAM,1 GB available space,,,null,null,null
SLUDGE LIFE₹499,Sludge Life,₹499,Terri Vellmann & Doseone,Adventure,null,Devolver Digital,05/28/20,WindowsWindows,Windows 7/8.1/10 x64,Intel Core i3-2100 (2 * 3100) or equivalent or AMD Phenom II X4 965 (4 * 3400) or equivalent,4 GB RAM,GeForce GTX 660 (2048 MB),,,57%,75,Strong
Metro 2033 Redux₹670,Metro: 2033 Redux,₹670,4A Games,ActionFirst PersonShooter,Single Player,Deep Silver,03/16/10,WindowsWindows,Windows 7 or 8 (64-bit only),Any Quad Core or 3.0+ GHz Dual Core CPU,4 GB RAM,DirectX 11 compliant graphics card (GeForce GTX 480 and above),,,83%,85,Mighty
Alan Wake’s American Nightmare₹297,Alan Wake's American Nightmare,₹297,Remedy Entertainment,ActionHorrorShooter,Single PlayerController Support,Remedy Entertainment,05/22/12,WindowsWindows,Windows 7,Quad Core 2.66GHz Intel or 3.2GHz AMD,4 GB RAM,DirectX 10 compatible with 1GB RAM,,,null,null,null
Adios₹429,Adios,₹429,Mischief,NarrationAdventureFirst Person,Controller SupportSingle Player,Mischief,06/29/21,WindowsWindows,10,Intel Core i5-3340 3.1GHz / AMD FX-8150,4 GB RAM,NVIDIA GTX 670/AMD Radeon RX 460 or equivalent (Integrated graphics not supported),,,62%,75,Strong
Icewind Dale: Enhanced Edition₹469,Icewind Dale: Enhanced Edition,₹469,Beamdog,RPG,Co-opSingle Player,Beamdog,09/28/21,Initial Release10/31/14,Windows 10 64-bit,AMD Ryzen 3 or Intel Core i3 processor,4 GB RAM,4 GB available space,,,null,null,null
Out of Line₹309,Out of Line,₹309,Nerd Monkeys,PuzzleerIndie,Single Player,Hatinh Interactive,06/23/21,WindowsWindows,Windows 10 64-bit,"Intel i7 920 @ 2.7 GHz, AMD Phenom II 945 @ 3.0 GHz",4 GB RAM,"NVIDIA GTX 660, Radeon R9-270",,,52%,69,Fair
TOEM₹469,TOEM,₹469,Something We Made,PuzzleExplorationAdventure,Single PlayerController Support,Something We Made,09/17/21,WindowsWindowsMac OSMac OS,Windows 10,Intel or AMD Dual Core at 2 GHz,4 GB RAM,null,,,null,null,null
Wheels of Aurelia₹349,Wheels of Aurelia,₹349,Santa Ragione srl,IndieNarrationRacing,null,Santa Ragione srl,04/16/20,WindowsWindowsMac OSMac OS,Windows 7+ (64bits),X64 Dual Core CPU 2+,4 GB RAM,500 MB,,,36%,55,Weak
Ooblets₹709,Ooblets,₹709,Glumberland,SimulationRPGAdventure,Single PlayerController Support,Glumberland,07/15/20,WindowsWindows,Windows 10,3.2 GHz Quad Core Processor,4 GB RAM,DirectX 11 graphics adapter with 1 GB VRAM,null,null,null,null,null
Legend of Grimrock 2₹709,Legend Of Grimrock 2,₹709,Almost Human Ltd.,RPGIndie,Single Player,Almost Human Ltd.,10/25/21,Initial Release10/15/14,Windows 7,Quad Core 2.66 Ghz Intel or 3.2 GHz AMD,4 GB RAM,2 GB available space,,,79%,84,Mighty
The End is Nigh₹446,The End is Nigh,₹446,"Edmund McMillen, Tyler Glaiel",ActionerIndie,Single PlayerController Support,"Edmund McMillen, Tyler Glaiel",07/12/17,WindowsWindows,Windows 10,Intel Core i7,4 GB RAM,nvidia 960 or higher,,,82%,82,Strong
Thimbleweed Park₹595,Thimbleweed Park,₹595,"Terrible Toybox, Inc.",IndiePuzzleAdventure,Controller SupportSingle Player,"Terrible Toybox, Inc.",03/30/17,WindowsWindowsMac OSMac OSMac OSMac OS,Windows 7 (FULLY patched),2 GHz,4 GB RAM,Intel HD 3000 or better,,,84%,83,Strong
Oxenfree₹297,Oxenfree,₹297,Night School Studio,NarrationAdventureIndie,Single PlayerController Support,Night School Studio,01/15/19,WindowsWindowsMac OSMac OSMac OSMac OS,Windows 8.1 64-bit,Intel i5 2.5 GHz,4 GB RAM,NVIDIA GeForce GTX 460 | Radeon HD 6750 (or higher),,,79%,81,Strong
Baldur's Gate II: Enhanced Edition₹469,Baldur's Gate II: Enhanced Edition,₹469,Beamdog,RPGAdventure,Co-opSingle Player,Beamdog,09/28/21,Initial Release11/16/13,Windows 10 64-bit,AMD Ryzen 3 or Intel Core i3 processor,4 GB RAM,4 GB available space,,,64%,76,Strong
WarframeFree,Warframe,Free,Digital Extremes,ActionShooter,Co-opMultiplayerSingle PlayerController Support,Digital Extremes,12/11/20,Initial Release03/26/20,Windows 7 64-Bit (32-bit not supported),Intel Core 2 Duo e6400 or AMD Athlon x64 4000+ (~2.2Ghz dual core CPU),4 GB System RAM,35 GB available HD space,null,null,55%,75,Strong
Dishonored - Definitive Edition₹999,Dishonored - Definitive Edition,₹999,Arkane Studios,ActionAction-AdventureStealth,Single Player,Bethesda Softworks,09/09/21,Initial Release08/25/15,Windows Vista / Windows 7 (enhanced for 64-bit OS),2.4 GHz quad core or better (enhanced for multi-core processors),4 GB system RAM,null,,,73%,78,Strong
Journey₹446,Journey,₹446,thatgamecompany,IndieAdventure,Co-opSingle Player,Annapurna Interactive,06/06/19,WindowsWindows,Windows 10,Intel Core i3-2120 | AMD FX-4350,4 GB System RAM & 2 GB Video RAM,Nvidia GTS 450 | AMD Radeon HD 5750,,,96%,93,Mighty
