game_link,name,price,developer,genres,features,publisher,date release,initial release on platform ,recommended_os,cpu,memory,gpu,available achievements,available xp,Critics Recommend,Top Critic Average,OpenCritic Rating
"HITMAN - Game of the Year Edition₹3,249",HITMAN - Game of the Year Edition,"₹3,249",IO Interactive A/S,ActionAction-AdventureShooterStealth,Single Player,IO Interactive A/S,09/03/20,Initial Release09/03/20,OS 64-bit Windows 7 / 64-bit Windows 8 (8.1) or Windows 10,"Intel CPU Core i7 3770 3,4 GHz / AMD CPU AMD FX-8350 4 GHz",8,Nvidia GPU GeForce GTX 770 / AMD GPU Radeon R9 290,,,92%,84,Mighty
"The Medium₹2,949",The Medium,"₹2,949",Bloober Team,HorrorAdventure,Single Player,Bloober Team S.A.,01/28/21,WindowsWindows,Windows 10 (64bit version only),Intel® Core™ i5-9600 / AMD Ryzen™ 7 3700X,16,30,,,63%,75,Strong
"HITMAN 3₹1,889",HITMAN 3,"₹1,889",IO Interactive A/S,ActionStealth,AchievementsController SupportSingle Player,IO Interactive A/S,08/27/20,Initial Release01/20/21,OS 64-bit Windows 10,Intel CPU Core i7 4790 4 GHz,16,80,null,null,92%,86,Mighty
Into the Breach₹446,Into The Breach,₹446,Subset Games,Turn-BasedRogue-LiteStrategy,Single Player,Subset Games,02/27/18,WindowsWindowsMac OSMac OS,Windows 7+,1.7 GHz,1 GB,250 MB,,,90%,88,Mighty
The Lion's Song₹189,The Lion's Song,₹189,Mi'pu'mi Games,NarrationAdventure,Single Player,Mi'pu'mi Games,05/13/21,WindowsWindowsMac OSMac OS,Windows 7 / 8 / 10,2 GHZ,1 GB RAM,500 MB available space,,,80%,81,Strong
Costume Quest₹297,Costume Quest,₹297,Double Fine Productions,RPGAdventure,Single Player,Double Fine Productions,10/19/10,WindowsWindows,Windows 7 or higher,2.2 GHz dual core CPU,1 GB RAM,"256 MB GeForce 220, Radeon 4550, Intel HD 3000 Graphics",,,null,null,null
Sunless Sea₹449,Sunless Sea,₹449,Failbetter Games,RPGAdventureIndie,null,Failbetter Games,02/25/21,WindowsWindowsMac OSMac OS,Windows 10,2Ghz or better,1 GB RAM,700 MB available space,,,81%,81,Strong
Among Us₹119,Among Us,₹119,Innersloth,Casual,Co-opMultiplayer,Innersloth,12/18/20,Initial Release06/15/18,Windows 7 SP1+,SSE2 instruction set support,1 GB RAM,250 MB available space,null,null,77%,80,Strong
2064: Read Only Memories₹469,2064: Read Only Memories,₹469,"MidBoss, LLC",Adventure,Single Player,"MidBoss, LLC",09/28/21,Initial Release08/18/15,Windows 7,2.0 GHz with SSE2 instruction support,1 GB RAM,1000 MB available space,,,63%,77,Strong
Kraken Academy₹499,Kraken Academy,₹499,Happy Broccoli Games,ComedyAdventureIndie,Single Player,Fellow Traveller,09/03/21,Initial Release09/10/21,Windows 7,64-bit processor,1 GB RAM,400 MB available space,,,null,null,null
Assassin's Creed II Standard Edition₹499,Assassin's Creed II,₹499,Ubisoft,Action-Adventure,Single Player,Ubisoft,10/06/20,Initial Release11/11/14,Windows® XP (32-64 bits) /Windows Vista®(32-64 bits)/Windows 7® (32-64 bits),Intel Core® 2 Duo E6700 2.6 GHz or AMD Athlon 64 X2 6000+ or better,1.5 GB Windows® XP / 2 GB Windows Vista® - Windows 7®,GeForce 8800 GT or ATI Radeon HD 4700 or better,,,null,null,null
"Ghost Recon Future Solider: Ultimate Edition₹1,499",Ghost Recon Future Solider: Ultimate Edition,"₹1,499",Ubisoft Paris,Action,null,Ubisoft,07/28/20,WindowsWindows,"Windows Vista® (with Service Pack 2)/ Windows 7® (with Service pack 1), both 32 bit & 64 bit versions.",Intel Core2 Quad Q9450/ AMD Phenom II X4 940 or higher,"1024 MB DirectX–compliant, Shader 4.0–enabled video card based on nVidia GeForce GTX 460 or AMD/ATi HD 5850 or better.",3 GB Windows Vista® & 7®,,,null,null,null
20XX₹477,20XX,₹477,Batterystaple,Rogue-Liteer,Co-op,Batterystaple,07/30/20,WindowsWindows,"Windows 7, maybe even higher than 7",Two toaster processors or better (2011+),1024 MB RAM,2 GB,,,68%,80,Strong
"The Banner Saga Epic Trilogy₹1,889",The Banner Saga Epic Trilogy,"₹1,889",Stoic,RPGStrategyIndie,Single Player,Stoic,07/21/21,WindowsWindowsMac OSMac OS,Windows 10,1 gigahertz (GHz) or faster 32-bit (x86) or 64-bit (x64) processor,12 GB,22 GB,,,null,null,null
"Back 4 Blood: Standard Edition₹2,999",Back 4 Blood: Standard Edition,"₹2,999",Turtle Rock Studios,ActionFirst PersonShooter,Co-opMultiplayerSingle Player,Warner Bros. Games,10/12/21,WindowsWindows,64-bit Windows 10,Intel Core i5-8400 (2.8 GHz) OR AMD Ryzen 7 1800X (3.6 GHz),12 GB,40 GB SSD,,,72%,76,Strong
The Riftbreaker₹749,The Riftbreaker,₹749,EXOR Studios,RPGStrategy,Single Player,EXOR Studios,10/14/21,WindowsWindows,Windows 10,Intel i7 gen 2 or AMD Ryzen,12 GB RAM,8 GB available space,,,null,null,null
"Cyberpunk 2077₹2,999",Cyberpunk 2077,"₹2,999",CD PROJEKT RED,ActionRPGOpen WorldAdventure,AchievementsController SupportSingle Player,CD PROJEKT RED,12/10/20,WindowsWindows,Windows 10,Intel Core i7-4790 or AMD Ryzen 3 3200G,12 GB RAM,NVIDIA GeForce GTX 1060 or AMD Radeon R9 Fury,44 Achievements,1000 XP,63%,76,Strong
INDUSTRIA₹529,INDUSTRIA,₹529,Bleakmill,ActionShooterAdventure,Single Player,Headup,09/30/21,WindowsWindows,Windows 7 / Windows 8.1 / Windows 10 64-bit (latest Service Pack),3.2 GHz Quad-Core Processor,12 GB RAM,15 GB available space,,,null,null,null
The Alien Cube₹469,The Alien Cube,₹469,Alessandro Guzzo,AdventureHorrorIndie,Single Player,Alessandro Guzzo,10/14/21,WindowsWindows,Windows 10,Intel i5-6600 @ 3.3Ghz or AMD Ryzen 5 1400,12 GB RAM,Nvidia GTX 1060/AMD RX 580,,,null,null,null
House Flipper₹569,House Flipper,₹569,Empyrean,CasualSimulationIndie,AchievementsSingle PlayerController Support,Frozen District,08/05/21,Initial Release05/17/18,Windows 10 64bit,Intel Core i5-8400 / AMD Ryzen 5 2600,12 GB RAM,10 GB available space,null,null,43%,61,Weak
Rayman Origins₹499,Rayman Origins,₹499,Ubisoft,ActionAdventureer,null,Ubisoft,02/04/21,Initial Release03/22/12,Windows® XP / Windows Vista® / Windows® 7 (only),2.0 GHz Intel® Core™2 Duo E4400 or 2.0 GHz AMD Athlon™ X2 3800+ or better,128 MB DirectX® 9.0c-compliant video card or higher* (see supported list),2 GB recommended,,,null,null,null
Superliminal₹595,Superliminal,₹595,Pillow Castle,First PersonPuzzle,Controller SupportSingle Player,Pillow Castle,11/12/19,WindowsWindowsMac OSMac OS,Windows 10,3.0 Ghz,12Gb,Nvidia GTX1070 or equivalent,,,66%,75,Strong
"Red Dead Redemption 2₹3,199",Red Dead Redemption 2,"₹3,199",Rockstar Games,ActionNarrationOpen World,Single Player,Rockstar Games,11/05/19,WindowsWindows,Windows 10 - April 2018 Update (v1803),Intel(R) Core(TM) i7-4770K / AMD Ryzen 5 1500x,12GB,Nvidia GeForce GTX 1060 6GB / AMD Radeon RX 480 4GB,,,94%,96,Mighty
"Tony Hawk's™ Pro Skater™ 1 + 2₹2,526",Tony Hawk's™ Pro Skater™ 1 + 2,"₹2,526",Vicarious Visions,ActionSports,Co-opSingle Player,Activision,09/04/20,WindowsWindows,Windows 10,AMD Ryzen 5 1600X / Intel Core i5-2500K,12GB,AMD Radeon R9 390 / NVIDIA GTX 970,,,97%,89,Mighty
Edge Of Eternity-45%₹709₹389.95,Edge Of Eternity,₹389.95,Midgar Studio,RPGStrategyOpen World,Single Player,Dear Villagers,06/08/21,WindowsWindows,Windows 10 64 bit,Intel i7 8600,12GB,20GB,null,null,45%,64,Weak
"Jurassic World Evolution₹2,855",Jurassic World Evolution,"₹2,855",Frontier Developments,SimulationStrategy,Single Player,Frontier Developments,12/31/20,WindowsWindows,Windows 7 (SP1+) / 8.1/10 64bit,Intel i7-4770/AMD FX-8350,12GB,12GB,null,null,40%,71,Fair
"Detroit: Become Human₹1,899",Detroit: Become Human,"₹1,899",Quantic Dream,ActionNarration,Single Player,Quantic Dream,12/12/19,WindowsWindows,Windows 10 (64 bit),i5-6600 @ 3.3 GHz or Ryzen 3 1300 X @ 3.4 GHz,12GB RAM,Nvidia GeForce GTX 1060 or AMD Radeon RX 580 (Support of Vulkan 1.1 required),,,72%,79,Strong
Townscaper₹139,Townscaper,₹139,Oskar Stålberg,CasualSimulationIndie,Single Player,Raw Fury,08/27/21,Initial Release06/30/20,Windows 7+,1 GB,130 MB,null,,,75%,69,Fair
SAMURAI SHODOWN NEOGEO COLLECTION₹968,SAMURAI SHODOWN NEOGEO COLLECTION,₹968,Digital Eclipse,Fighting,Multiplayer,SNK CORPORATION,06/11/20,WindowsWindows,Windows 10 (64-bit Required),Intel i5 @ 2.5GHz or AMD equivalent,16 GB,Privacy Policy,,,null,null,null
"Necromunda: Hired Gun₹1,599",Necromunda: Hired Gun,"₹1,599",Streum On Studio,ActionAction-AdventureAdventure,Single PlayerController Support,Focus Entertainment,06/01/21,WindowsWindows,Windows 10 (64-bit),AMD Ryzen 5 2600 / Intel Core i5-8600K,16 GB,50 GB,null,null,null,null,null
Observer: System Redux₹707,Observer: System Redux,₹707,Bloober Team,HorrorAdventureFirst Person,null,Bloober Team,11/10/20,WindowsWindows,Windows 10 - 64 bit,Intel Core i7-3770 / AMD Ryzen 5 1600,16 GB,16 GB,,,null,null,null
The Surge₹599,The Surge,₹599,Deck13 Interactive,ActionRPGAdventure,AchievementsSingle Player,Focus Entertainment,09/23/21,Initial Release05/15/17,Windows 7/8/10 (64-bit),"AMD FX-8370 (4,0 GHz) / Intel Core i7-3820 (3,6 GHz)",16 GB,15 GB,null,null,43%,73,Fair
"STAR WARS™: Squadrons₹2,499",STAR WARS™: Squadrons,"₹2,499",Motive Studios,Action,MultiplayerSingle Player,Electronic Arts,10/02/20,WindowsWindows,Windows 10 64-bit,Intel i7-7700 / AMD Ryzen 7 2700X,16 GB,Nvidia Radeon RX 480 (Non-VR/Minimum VR) or Radeon RX 570 (Recommended VR) / AMD GeForce GTX 1060(Non-VR/Minimum VR) or GeForce GTX 1070 (Recommended VR),,,80%,79,Strong
"BIOMUTANT₹1,889",BIOMUTANT,"₹1,889",Experiment 101,ActionRPGAdventure,Single Player,THQ Nordic,05/25/21,WindowsWindows,Windows 10 (64bit),AMD Ryzen 5 1600 or Intel Core i7-6700K or newer running at 3.2 GHz or higher,16 GB,null,,,38%,67,Fair
Conway: Disappearance at Dahlia View₹709,Conway: Disappearance at Dahlia View,₹709,White Paper Games,Adventure,Single Player,Sold Out,11/02/21,Initial Release11/02/21,Windows 10 x64,Intel Core i5-5675C (4 * 3100) or equivalent / AMD Ryzen 5 1600 (6 * 3200) or equivalent,16 GB,Geforce RTX 1060 (6144 MB) / Radeon RX 570 (8192 MB),,,50%,68,Fair
"Port Royale 4₹2,299",Port Royale 4,"₹2,299",Gaming Minds Studios,SimulationStrategy,Controller SupportSingle Player,Kalypso Media,09/25/20,WindowsWindows,Windows 8.1 or Windows 10 (64bit versions),"AMD or Intel, Intel Core i5 7400s @ 3.5 GHz or AMD Ryzen 5 @ 3.4 GHz",16 GB,10 GB available space,,,27%,69,Fair
Genshin ImpactFree,Genshin Impact,Free,COGNOSPHERE PTE. LTD.,RPGOpen WorldAdventure,Multiplayer,COGNOSPHERE PTE. LTD.,06/09/21,WindowsWindows,"Windows 7 SP1 64-bit, Windows 8.1 64-bit, or Windows  10 64-bit (Windows 10 dev builds are not currently supported)",Intel Core i7 or equivalent,16 GB,30 GB,,,89%,80,Strong
"Disciples: Liberation₹2,299",Disciples: Liberation,"₹2,299",Frima Studio,RPGStrategy,MultiplayerSingle Player,Kalypso Media,10/21/21,WindowsWindows,Windows 10 64-bit,Intel Core i5-7600K or AMD Ryzen 1700,16 GB,8 GB,,,null,null,null
"A Plague Tale: Innocence₹1,699",A Plague Tale: Innocence,"₹1,699",Asobo Studio,ActionAdventure,Single Player,Focus Entertainment,05/14/19,WindowsWindows,Windows 7/8/10 (64 bits),Intel Core i5-4690 (3.5 GHz)/AMD FX-8300 (3.3 GHz),16 GB,50 GB,,,82%,82,Strong
"HOT WHEELS UNLEASHED™₹1,499",HOT WHEELS UNLEASHED™,"₹1,499",Milestone S.r.l.,Racing,MultiplayerSingle Player,Milestone S.r.l.,09/30/21,WindowsWindows,Windows 8.1 64-Bit or later,Intel Core i7-5820K / AMD Ryzen 5 2600,16 GB,22 GB,null,null,58%,74,Fair
Forgive Me Father₹589,Forgive Me Father,₹589,BYTE BARREL,HorrorFirst PersonShooter,Single Player,1C Entertainment,10/26/21,WindowsWindows,Windows 10 64-bit,"Intel Core i5, AMD Ryzen or equivalent",16 GB,NVIDIA GeForce GTX 1050ti,null,null,null,null,null
Warhammer Age of Sigmar: Storm Ground₹799,Warhammer Age of Sigmar: Storm Ground,₹799,Gasket Games,Strategy,MultiplayerSingle Player,Focus Entertainment,09/23/21,Initial Release05/27/21,Windows 10 (64-bit),AMD Ryzen 5 2600 / Intel Core i5-8600K,16 GB,6 GB,,,21%,67,Fair
"Nioh 2 – The Complete Edition₹2,499",Nioh 2 – The Complete Edition,"₹2,499","KOEI TECMO GAMES CO., LTD.",ActionRPG,Co-opMultiplayerSingle Player,"KOEI TECMO GAMES CO., LTD.",09/23/21,Initial Release02/05/21,Windows® 10 64bit,Intel Core i7 6700K or over AMD Ryzen 5 1600 or over,16 GB,85 GB,,,97%,85,Mighty
"Mafia: Definitive Edition₹2,199",Mafia: Definitive Edition,"₹2,199",Hangar 13,ActionShooter,Single Player,2K,09/25/20,WindowsWindows,Windows 10 64-bit,Intel Core-i7 3770 3.4GHz / AMD FX-8350 4.2GHz,16 GB,Privacy Policy,,,80%,78,Strong
Samurai Jack: Battle Through Time₹968,Samurai Jack: Battle Through Time,₹968,Soleil Ltd.,ActionFightingAction-AdventureAdventure,Controller Support,Adult Swim Games,07/22/20,Initial Release08/21/20,Windows 10 64bit,Intel Core i7 7th Generation,16 GB,10 GB of free space,,,61%,72,Fair
CoreFree,Core,Free,Manticore Games,ActionRPGShooter,null,Manticore Games,04/15/21,WindowsWindows,Windows 10 64-bit,Intel Core i5-7400 or AMD equivalent,16 GB,NVIDIA GeForce GTX 1660 Ti or AMD equivalent,null,null,null,null,null
Transport Fever 2₹959,Transport Fever 2,₹959,Urban Games,Simulation,Single Player,Good Shepherd Entertainment,08/18/21,WindowsWindowsMac OSMac OS,"Windows 7, 8 or 10 (64-bit)",Intel i7-4770k or AMD Ryzen 5 1600,16 GB,"NVIDIA GeForce GTX 1060 or AMD Radeon RX 580, 4 GB VRAM",,,null,null,null
The Eternal Cylinder₹709,The Eternal Cylinder,₹709,ACE Team,ExplorationSurvivalOpen WorldAdventure,Single Player,Good Shepherd Entertainment,09/30/21,WindowsWindows,Windows 10,Intel Core i5-7600,16 GB,Privacy Policy,,,null,null,null
Crysis 2 Remastered₹709,Crysis 2 Remastered,₹709,Crytek,ActionShooter,Single Player,Crytek,10/15/21,WindowsWindows,Windows 10 64-Bit latest update,Intel(R) Core(TM) i5-8600 or higher,16 GB,54 GB,,,null,null,null
Comanche₹799,Comanche,₹799,"NUKKLEAR, Ashborne Games",Action,MultiplayerSingle Player,THQ Nordic,08/30/21,WindowsWindows,64-bit Windows 10,Intel Core i7 7700 or AMD equivalent,16 GB,35 GB,,,null,null,null
"Spacebase Startopia - Standard Edition₹2,299",Spacebase Startopia,"₹2,299",Realmforge Studios,SimulationStrategy,null,Kalypso Media,03/26/21,WindowsWindows,Windows 10 (64-bit versions),AMD Ryzen 5 3600X / Intel Core i3-9100 @ 3.6 GHz,16 GB,10 GB available space,,,null,null,null
Train Life: A Railway Simulator₹459,Train Life: A Railway Simulator,₹459,Simteract,SimulationExploration,Single Player,Nacon,08/31/21,WindowsWindows,Windows 10,Intel Core i7-4790 @ 3.6 GHz or AMD Ryzen 7 1700 @ 3.8 GHz,16 GB,10,null,null,null,null,null
Hello Neighbor: Hide and Seek₹670,Hello Neighbor: Hide and Seek,₹670,tinyBuild Games,ActionStealthAdventure,Single Player,tinyBuild Games,12/07/18,WindowsWindows,Windows 10 (64-Bit),i7,16 GB,GTX 1060,,,null,null,null
Rogue State Revolution₹459,Rogue State Revolution,₹459,Little Red Dog Games,City BuilderRogue-LiteStrategy,Single Player,Modern Wolf,03/18/21,WindowsWindows,Windows 10 64 Bit,CPU: Intel Core i5 8600K (3.6 GHz),16 GB,4 GB,,,null,null,null
"ELEX₹1,099",ELEX,"₹1,099",Piranha Bytes,ActionRPGAdventure,Single Player,THQ Nordic,03/25/21,Initial Release10/17/17,"64-bit Windows 7, Windows 8.1, Windows 10","Intel Core i7-4790, AMD FX-8350",16 GB,null,,,14%,61,Weak
Raji: An Ancient Epic₹595,Raji: An Ancient Epic,₹595,Nodding Heads Games,ActionNarrationAction-AdventureAdventure,Single Player,Super.com,10/15/20,WindowsWindows,Windows 10 64-bit,Intel Core i5-7400 (3.50 GHz) / AMD FX-8100 (2.8 GHz),16 GB,3 GB,,,44%,70,Fair
"SAMURAI SHODOWN₹1,415",SAMURAI SHODOWN,"₹1,415",SNK,ActionFighting,Co-opMultiplayerSingle Player,SNK,06/11/20,WindowsWindows,Windows 10,Intel Core i7,16 GB,35 GB,null,null,77%,79,Strong
"Days Gone₹3,299",Days Gone,"₹3,299",Bend Studio,ActionSurvivalOpen World,Single Player,PlayStation PC LLC,05/18/21,WindowsWindows,Windows 10 64-bits,Intel Core i7-4770K@3.5GHz or Ryzen 5 1500X@3.5GHz,16 GB,70 GB,,,53%,72,Fair
"MotoGP™21₹1,199",MotoGP™21,"₹1,199",Milestone S.r.l.,SimulationRacing,MultiplayerSingle Player,Milestone S.r.l.,04/22/21,WindowsWindows,Windows 8.1 64-Bit or later,"Intel Core i7-5820K, AMD Ryzen 5 1500X or equivalent",16 GB,22 GB,,,68%,77,Strong
"Old World₹1,117",Old World,"₹1,117",Mohawk Games,Turn-BasedStrategy,Co-opMultiplayerSingle Player,Mohawk Games,05/05/20,WindowsWindowsMac OSMac OS,Microsoft Windows 10 (64-bit),Intel i5-8500 3ghz or similar,16 GB,14 GB,,,null,null,null
LEGO® Builder's Journey₹469,LEGO® Builder's Journey,₹469,Light Brick Studio,CasualPuzzleAdventure,Single Player,LEGO Games,06/22/21,WindowsWindows,Windows 10,Intel Core i7-980,16 GB,4 GB,,,81%,79,Strong
Horror Story: Hallowseed₹589,Horror Story: Hallowseed,₹589,Jeff Winner,Horror,Single Player,1C Entertainment,10/28/21,WindowsWindows,Windows 10 64-bits,Core i5 3.20ghz,16 GB,15 GB,,,null,null,null
Starsand₹469,Starsand,₹469,Tunnel Vision Studio,ActionSimulationAdventure,Single Player,Toplitz Productions,11/04/21,WindowsWindows,Windows 10,"Intel i5 (4th Generation) or equivalent AMD, min. 2.4 GHz",16 GB,7 GB,null,null,null,null,null
Alan Wake Remastered₹709,Alan Wake Remastered,₹709,Remedy Entertainment,ActionHorrorShooter,AchievementsSingle Player,Epic Games Publishing,10/05/21,WindowsWindows,i7-3770 or equivalent,Nvidia GeForce GTX 1060 or AMD Equivalent. 4GB VRAM,16 GB,Win 10 64-bit,50 Achievements,1000 XP,82%,80,Strong
Crysis 3 Remastered₹709,Crysis 3 Remastered,₹709,Crytek,ActionShooter,Single Player,Crytek,10/15/21,WindowsWindows,Windows 10 64-Bit latest update,Intel(R) Core(TM) i5-8600,16 GB,18 GB,,,null,null,null
"Tropico 6₹2,299",Tropico 6,"₹2,299",Limbic Entertainment,SimulationCity BuilderStrategy,MultiplayerSingle Player,Kalypso Media Group GmbH,12/23/20,WindowsWindows,Requires a 64-bit processor and operating system,"AMD or Intel, 3.3 GHz (AMD FX 8300, Intel i5 3000)",16 GB,16 GB,null,null,70%,78,Strong
War Mongrels₹959,War Mongrels,₹959,Destructive Creations,StrategyStealth,Co-opSingle PlayerController Support,Destructive Creations,10/19/21,WindowsWindows,Windows® 7 (Service Pack 1) / Windows® 8 / Windows® 8.1 / Windows® 10 / (64-bit only),AMD Ryzen 5 2600 or Intel Core i7-4790.,16 GB,35 GB,,,null,null,null
Hood: Outlaws & Legends₹799,Hood: Outlaws & Legends,₹799,Sumo Digital,ActionStealthAdventure,Controller SupportCo-opMultiplayer,Focus Entertainment,05/10/21,WindowsWindows,Windows 10 (64-bit),AMD Ryzen 5 2600 / Intel Core i5-8600K,16 GB,40 Go,null,null,24%,66,Fair
"Vampyr₹1,564",Vampyr,"₹1,564",DONTNOD Entertainment,ActionRPG,Controller SupportSingle Player,Focus Entertainment,06/05/18,WindowsWindows,Windows 7/8/10 (64 bits),Intel Core i7-3930K (3.2 GHz)/AMD Ryzen 5 1600 (3.2 GHz),16 GB,"4 GB, GeForce GeForce GTX 970 / GTX 1060 / Radeon R9 390",,,45%,72,Fair
EVE OnlineFree,EVE Online,Free,CCP Games,ActionRPGOpen World,Multiplayer,CCP Games,09/23/21,Initial Release05/06/03,Windows 10 64-bit,Intel i7 7700 or AMD Ryzen 7 1700 @ 3.6 GHz or great,16 GB or higher,"NVIDIA GeForce GTX 1060, AMD Radeon RX 580 or better with at least 4 GB VRAM",null,null,null,null,null
Myst₹709,Myst,₹709,"Cyan Worlds, Inc.",PuzzleAdventure,Single PlayerVR,"Cyan Worlds, Inc.",08/26/21,Initial Release09/24/93,Windows 10,Intel i5-4590 / AMD Ryzen 5 1500X or greater,16 GB RAM,20 GB available space,,,54%,74,Fair
New Super Lucky's Tale₹709,New Super Lucky's Tale,₹709,Playful Studios,ActionAction-AdventureAdventureer,Controller SupportSingle Player,Playful Studios,08/21/20,WindowsWindows,Windows 10,Intel Core i5 4570 @ 3.2 GHz or AMD FX - 8350,16 GB RAM,7 GB,,,80%,79,Strong
Second Extinction™₹569,Second Extinction™,₹569,Systemic Reaction™,ActionFirst PersonShooter,Co-opMultiplayer,Systemic Reaction™,09/30/21,Initial Release10/13/21,Windows 10 (64-Bit versions),Intel Core i7-4770 or AMD Ryzen 5 1600X,16 GB RAM,50 GB available space,null,null,null,null,null
"Just Cause 4 Reloaded₹1,117",Just Cause 4 Reloaded,"₹1,117",Avalanche Studios,ActionOpen World,Single Player,Square Enix,04/23/20,WindowsWindows,Windows 10 (64-bit versions only),Intel Core i7-4770 @ 3.4 GHz | AMD Ryzen 5 1600 @ 3.2 GHz or equivalent,16 GB RAM,NVIDIA GeForce GTX 1070 (6GB VRAM or better) | AMD Vega 56 (6GB VRAM or better),null,null,30%,68,Fair
Stonefly₹529,Stonefly,₹529,Flight School Studio,ActionRPGAdventure,Single Player,MWM Interactive,06/01/21,WindowsWindows,Windows 10 (64-bit),Intel Core i5-7400 or AMD Ryzen 1600,16 GB RAM,5 GB available space,,,null,null,null
"Darksiders III₹2,165",Darksiders III,"₹2,165",Gunfire Games,ActionAdventure,Controller SupportSingle Player,THQ Nordic,11/27/18,WindowsWindows,Windows 7 / 8 / 10 64 bit,Intel Core i7-3930K (3.2 GHz)/AMD Ryzen 5 1600 (3.2 GHz) or better,16 GB RAM,AMD Radeon RX 480 / NVIDIA GeForce GTX 970 with 4 GB VRAM,,,34%,68,Fair
Astria Ascending-35%₹829₹538.85,Astria Ascending,₹538.85,Artisan Studios,RPG,Controller SupportSingle Player,Dear Villagers,09/30/21,WindowsWindows,Windows 10 64-bit,Intel Core i5-7600K / AMD Ryzen 5 1600X,16 GB RAM,NVIDIA GeForce GTX 1070Ti / AMD Radeon RX 5700,,,null,null,null
Tannenberg₹599,Tannenberg,₹599,M2H & Blackmill Games,ActionShooter,Co-opMultiplayerSingle Player,M2H,07/22/21,Initial Release11/16/17,Windows 10 64 Bit,"Intel CPU Core i5-2500K 3.3GHz, AMD CPU Phenom II X4 940",16 GB RAM,8 GB available space,,,41%,69,Fair
"The Legend of Heroes: Trails of Cold Steel III₹1,299",The Legend of Heroes: Trails of Cold Steel III,"₹1,299",Nihon Falcom,RPG,Single PlayerController Support,"NIS America, Inc.",04/16/21,Initial Release04/23/21,Windows 10/8.1/7 64-bit,AMD FX-8320 8-Core,16 GB RAM,25 GB available space,null,null,92%,84,Mighty
Phoenix Point₹709,Phoenix Point: Year One Edition,₹709,Snapshot Games,Turn-BasedRPGStrategy,null,Snapshot Games,12/03/20,WindowsWindows,"Win 10, 8 and 7 SP1+ (64 bit)",Intel Core i5 3GHz / AMD FX series 3.2GHz,16 GB RAM,Nvidia GeForce GTX 1060 / AMD Radeon R9 390X,null,null,47%,72,Fair
Kingdom Come: Deliverance₹699,Kingdom Come: Deliverance,₹699,Warhorse Studios,ActionRPGOpen WorldAdventure,AchievementsController SupportSingle Player,Prime Matter,02/13/18,WindowsWindows,OS 64-bit Windows 7 or 64-bit Windows 8 (8.1) or Windows 10,"Intel CPU Core i7 3770 3,4 GHz, AMD CPU AMD FX-8350 4 GHz",16 GB RAM,OS 64-bit Windows 7 or 64-bit Windows 8 (8.1) or Windows 10,null,null,48%,72,Fair
Chernobylite₹709,Chernobylite,₹709,The Farm 51,ActionRPGAdventure,Single Player,All In! Games,07/28/21,Initial Release10/16/19,"Windows 7 SP1 (x64), Windows 8 (x64), Windows 10 (x64)",Intel Core i7 4790k CPU,16 GB RAM,40 GB available space,null,null,58%,76,Strong
Void Bastards₹639,Void Bastards,₹639,Blue Manchu,ActionShooter,Single PlayerController Support,Humble Games,08/19/21,Initial Release05/28/19,Windows 7/8/10 (64-bit versions),"Intel i7-2600K, AMD FX-8350",16 GB RAM,6 GB,,,81%,81,Strong
Basingstoke₹709,Basingstoke,₹709,Puppygames,IndieStealthHorror,Single PlayerController Support,Puppygames,10/29/21,Initial Release04/27/18,Windows 7/8/10 (64-bit versions),Intel Core i5 3.00 GHz or AMD equivalent,16 GB RAM,"GTX 970 4GB, AMD R9 290 4GB",,,null,null,null
Dark Deception₹469,Dark Deception,₹469,Glowstick Entertainment,HorrorIndie,Single Player,Glowstick Entertainment,10/30/21,Initial Release09/27/18,"64-bit Windows 7, Windows 8.1, or Windows 10",Intel Core i5-6600K/ AMD Ryzen 5 1600,16 GB RAM,3 GB,,,null,null,null
JETT: The Far Shore₹709,JETT : The Far Shore,₹709,Superbrothers + Pine Scented,ExplorationOpen WorldAdventure,Single Player,Superbrothers + Pine Scented,10/05/21,WindowsWindows,Windows 10 (64-bit),Quad Core 3.6GHz+ CPU (e.g. Intel Core i7-8700K / AMD Ryzen 5 2600) or better,16 GB RAM,14 GB hard drive space,,,28%,66,Fair
In Sound Mind₹759,In Sound Mind,₹759,We Create Stuff,HorrorAdventure,Single Player,Modus Games,09/28/21,WindowsWindows,64-bit Windows 10,Core i7-3770 / AMD FX-9590,16 GB RAM,20 GB available space,,,42%,74,Fair
The Magnificent Trufflepigs₹279,The Magnificent Trufflepigs,₹279,Thunkd,AdventureFirst PersonIndie,Single PlayerController Support,AMC Games,08/26/21,Initial Release06/02/21,Windows 10 64-bit,Intel® Core™ i5-8500 / AMD Ryzen™ 5 3600,16 GB RAM,5 GB available space,,,35%,68,Fair
Secret Government₹699,Secret Government,₹699,GameTrek,IndieStrategy,Single Player,1C Entertainment,04/15/21,WindowsWindowsMac OSMac OSMac OSMac OS,Windows 7/Windows 8/Windows 10 64bit,Intel i7-6770,16 GB RAM,9 GB,,,null,null,null
"Prey₹1,799",Prey,"₹1,799",Arkane Studios,ActionFirst PersonAction-AdventureShooterAdventure,Single Player,Bethesda Softworks,09/09/21,Initial Release05/05/17,Windows 7/8/10 (64-bit versions),"Intel i7-2600K, AMD FX-8350",16 GB RAM,null,,,75%,81,Strong
